96001,2007-01-01,09,11,27,28,38
96002,2007-01-02,02,12,33,36,37
96003,2007-01-03,22,23,27,29,30
96004,2007-01-04,03,09,23,32,39
96005,2007-01-05,09,12,13,15,26
96006,2007-01-08,08,11,13,24,39
96007,2007-01-09,05,08,14,17,28
96008,2007-01-10,05,30,34,35,38
96009,2007-01-11,07,15,18,20,37
96010,2007-01-12,06,21,23,26,33
96011,2007-01-15,01,13,15,20,25
96012,2007-01-16,06,13,27,31,32
96013,2007-01-17,11,25,26,27,30
96014,2007-01-18,10,15,20,22,28
96015,2007-01-19,10,11,17,21,38
96016,2007-01-22,10,13,15,28,39
96017,2007-01-23,07,17,24,30,39
96018,2007-01-24,03,04,15,23,34
96019,2007-01-25,08,10,14,21,24
96020,2007-01-26,06,08,10,36,37
96021,2007-01-29,03,08,11,17,38
96022,2007-01-30,05,10,12,15,27
96023,2007-01-31,03,04,15,29,34
96024,2007-02-01,13,18,25,26,36
96025,2007-02-02,06,11,12,15,35
96026,2007-02-05,03,16,19,20,31
96027,2007-02-06,02,13,14,29,39
96028,2007-02-07,07,11,23,32,35
96029,2007-02-08,05,10,31,37,39
96030,2007-02-09,07,16,20,25,27
96031,2007-02-12,13,15,16,23,34
96032,2007-02-13,02,22,28,29,34
96033,2007-02-14,01,15,20,23,28
96034,2007-02-15,06,24,27,28,33
96035,2007-02-16,24,28,29,32,37
96036,2007-02-19,09,12,24,34,37
96037,2007-02-20,04,06,17,31,36
96038,2007-02-21,08,18,20,32,34
96039,2007-02-22,09,17,20,21,37
96040,2007-02-23,09,12,16,19,25
96041,2007-02-26,06,20,23,25,28
96042,2007-02-27,09,12,19,23,34
96043,2007-02-28,09,11,21,22,38
96044,2007-03-01,02,03,12,18,31
96045,2007-03-02,07,22,23,33,37
96046,2007-03-05,05,11,19,21,25
96047,2007-03-06,12,16,17,19,34
96048,2007-03-07,02,12,19,30,34
96049,2007-03-08,07,11,20,31,34
96050,2007-03-09,02,17,30,31,38
96051,2007-03-12,08,15,25,27,38
96052,2007-03-13,06,09,16,18,22
96053,2007-03-14,06,09,16,37,39
96054,2007-03-15,01,07,21,27,33
96055,2007-03-16,01,02,18,26,38
96056,2007-03-19,05,20,24,28,39
96057,2007-03-20,02,10,14,18,22
96058,2007-03-21,06,14,34,37,38
96059,2007-03-22,07,25,26,34,36
96060,2007-03-23,12,19,20,29,32
96061,2007-03-26,26,27,32,33,36
96062,2007-03-27,11,20,36,37,38
96063,2007-03-28,09,25,28,34,37
96064,2007-03-29,08,22,23,27,29
96065,2007-03-30,06,19,22,33,37
96066,2007-04-02,01,07,21,33,35
96067,2007-04-03,10,11,13,29,31
96068,2007-04-04,01,19,30,34,35
96069,2007-04-05,07,21,22,23,36
96070,2007-04-06,04,07,12,33,34
96071,2007-04-09,11,30,32,34,39
96072,2007-04-10,06,08,09,30,39
96073,2007-04-11,25,26,31,37,39
96074,2007-04-12,01,09,11,17,25
96075,2007-04-13,22,24,27,32,37
96076,2007-04-16,14,18,26,28,36
96077,2007-04-17,02,11,24,31,32
96078,2007-04-18,03,12,22,38,39
96079,2007-04-19,01,14,20,22,36
96080,2007-04-20,03,06,22,37,39
96081,2007-04-23,02,07,10,13,30
96082,2007-04-24,01,04,06,09,16
96083,2007-04-25,13,15,19,29,37
96084,2007-04-26,05,07,15,32,39
96085,2007-04-27,08,10,21,23,39
96086,2007-04-30,04,07,12,17,29
96087,2007-05-01,01,10,22,34,39
96088,2007-05-02,04,23,34,37,39
96089,2007-05-03,01,05,18,25,37
96090,2007-05-04,07,08,09,12,14
96091,2007-05-07,04,09,18,27,28
96092,2007-05-08,02,10,18,23,33
96093,2007-05-09,03,15,30,35,36
96094,2007-05-10,14,19,22,25,35
96095,2007-05-11,15,18,19,21,24
96096,2007-05-14,02,09,10,14,39
96097,2007-05-15,05,08,11,23,38
96098,2007-05-16,01,11,18,21,24
96099,2007-05-17,04,05,06,13,33
96100,2007-05-18,06,11,15,37,39
96101,2007-05-21,08,15,20,23,25
96102,2007-05-22,01,13,18,31,32
96103,2007-05-23,04,08,21,29,32
96104,2007-05-24,07,08,13,30,35
96105,2007-05-25,04,13,19,23,35
96106,2007-05-28,04,05,10,17,37
96107,2007-05-29,10,14,15,29,35
96108,2007-05-30,05,20,33,38,39
96109,2007-05-31,21,28,33,35,38
96110,2007-06-01,01,03,07,13,28
96111,2007-06-04,04,07,13,32,36
96112,2007-06-05,06,08,18,25,35
96113,2007-06-06,07,20,21,28,33
96114,2007-06-07,01,07,18,19,21
96115,2007-06-08,01,07,10,16,37
96116,2007-06-11,07,14,27,29,30
96117,2007-06-12,05,15,23,27,34
96118,2007-06-13,01,02,03,20,25
96119,2007-06-14,06,10,12,26,39
96120,2007-06-15,02,12,23,25,27
96121,2007-06-18,02,03,05,12,16
96122,2007-06-19,01,06,08,10,28
96123,2007-06-20,07,11,12,23,38
96124,2007-06-21,18,19,28,35,39
96125,2007-06-22,09,11,20,22,25
96126,2007-06-25,20,22,23,24,34
96127,2007-06-26,01,04,15,25,33
96128,2007-06-27,03,06,14,20,21
96129,2007-06-28,01,19,22,35,36
96130,2007-06-29,25,31,33,34,37
96131,2007-07-02,03,13,21,28,32
96132,2007-07-03,15,17,23,25,38
96133,2007-07-04,10,17,18,19,29
96134,2007-07-05,01,02,11,23,37
96135,2007-07-06,06,31,34,35,39
96136,2007-07-09,08,12,24,34,35
96137,2007-07-10,01,08,12,19,29
96138,2007-07-11,05,14,19,20,29
96139,2007-07-12,08,13,21,27,32
96140,2007-07-13,01,03,20,26,31
96141,2007-07-16,15,16,22,35,39
96142,2007-07-17,05,17,23,27,30
96143,2007-07-18,03,21,24,33,34
96144,2007-07-19,01,06,19,24,37
96145,2007-07-20,17,25,34,35,38
96146,2007-07-23,03,11,15,20,36
96147,2007-07-24,05,12,19,28,34
96148,2007-07-25,01,09,10,19,21
96149,2007-07-26,07,20,24,33,34
96150,2007-07-27,08,11,12,18,21
96151,2007-07-30,04,08,12,15,20
96152,2007-07-31,07,14,17,37,39
96153,2007-08-01,04,09,28,32,36
96154,2007-08-02,09,15,21,35,39
96155,2007-08-03,04,08,12,13,32
96156,2007-08-06,02,08,13,33,36
96157,2007-08-07,09,10,23,31,36
96158,2007-08-08,07,11,12,27,29
96159,2007-08-09,02,09,22,24,38
96160,2007-08-10,13,16,17,26,33
96161,2007-08-13,01,15,24,29,31
96162,2007-08-14,04,15,25,26,36
96163,2007-08-15,05,12,28,30,32
96164,2007-08-16,07,14,29,30,35
96165,2007-08-17,05,16,23,30,35
96166,2007-08-20,04,17,23,26,28
96167,2007-08-21,01,07,19,26,29
96168,2007-08-22,03,17,22,31,34
96169,2007-08-23,04,07,16,20,28
96170,2007-08-24,02,07,12,16,39
96171,2007-08-27,10,12,19,23,36
96172,2007-08-28,04,07,14,29,36
96173,2007-08-29,15,18,25,32,34
96174,2007-08-30,07,14,25,28,37
96175,2007-08-31,14,20,22,27,29
96176,2007-09-03,12,18,24,27,33
96177,2007-09-04,05,07,18,24,35
96178,2007-09-05,01,28,31,34,38
96179,2007-09-06,08,19,28,31,33
96180,2007-09-07,02,19,23,30,37
96181,2007-09-10,13,19,28,32,37
96182,2007-09-11,04,21,27,35,38
96183,2007-09-12,07,10,17,23,35
96184,2007-09-13,01,03,10,15,26
96185,2007-09-14,11,23,24,36,39
96186,2007-09-17,16,24,25,26,30
96187,2007-09-18,01,11,13,24,27
96188,2007-09-19,04,06,17,24,37
96189,2007-09-20,07,13,20,25,26
96190,2007-09-21,12,17,24,34,38
96191,2007-09-24,02,03,31,36,37
96192,2007-09-25,01,17,19,27,36
96193,2007-09-26,08,31,32,33,37
96194,2007-09-27,06,11,12,16,33
96195,2007-09-28,04,09,17,26,37
96196,2007-10-01,02,28,31,33,35
96197,2007-10-02,01,08,22,23,26
96198,2007-10-03,01,05,08,12,24
96199,2007-10-04,02,06,24,35,36
96200,2007-10-05,08,11,25,34,39
96201,2007-10-08,14,16,19,21,34
96202,2007-10-09,05,07,12,22,26
96203,2007-10-10,01,08,22,24,27
96204,2007-10-11,04,18,23,26,36
96205,2007-10-12,01,12,13,17,23
96206,2007-10-15,09,10,17,18,31
96207,2007-10-16,11,15,20,22,34
96208,2007-10-17,03,07,18,19,23
96209,2007-10-18,11,13,21,22,31
96210,2007-10-19,07,22,27,29,32
96211,2007-10-22,01,13,18,23,33
96212,2007-10-23,03,04,09,22,39
96213,2007-10-24,01,03,17,29,31
96214,2007-10-25,09,11,16,20,31
96215,2007-10-26,17,19,23,29,37
96216,2007-10-29,03,04,17,32,39
96217,2007-10-30,03,04,06,22,27
96218,2007-10-31,15,23,28,35,36
96219,2007-11-01,09,12,14,22,30
96220,2007-11-02,01,04,05,30,31
96221,2007-11-05,12,26,28,31,38
96222,2007-11-06,09,26,32,33,37
96223,2007-11-07,06,12,20,21,30
96224,2007-11-08,23,24,25,29,36
96225,2007-11-09,02,12,18,28,36
96226,2007-11-12,30,33,34,36,37
96227,2007-11-13,05,06,16,18,29
96228,2007-11-14,02,09,24,31,39
96229,2007-11-15,06,21,29,35,37
96230,2007-11-16,01,05,10,19,32
96231,2007-11-19,10,17,19,20,25
96232,2007-11-20,07,25,32,34,36
96233,2007-11-21,06,10,17,20,38
96234,2007-11-22,04,12,15,30,38
96235,2007-11-23,07,13,16,24,31
96236,2007-11-26,05,12,19,29,30
96237,2007-11-27,05,11,12,19,34
96238,2007-11-28,01,06,11,14,28
96239,2007-11-29,12,15,24,29,38
96240,2007-11-30,03,09,27,32,35
96241,2007-12-03,03,11,24,28,31
96242,2007-12-04,11,15,32,36,39
96243,2007-12-05,03,08,09,11,36
96244,2007-12-06,11,14,29,32,39
96245,2007-12-07,15,16,22,24,28
96246,2007-12-10,02,07,18,19,38
96247,2007-12-11,15,20,21,24,35
96248,2007-12-12,10,19,27,36,38
96249,2007-12-13,07,13,22,26,32
96250,2007-12-14,02,14,15,28,37
96251,2007-12-17,02,08,13,24,26
96252,2007-12-18,07,21,24,30,36
96253,2007-12-19,06,07,13,27,39
96254,2007-12-20,13,16,24,29,30
96255,2007-12-21,01,02,30,37,38
96256,2007-12-24,19,31,34,36,37
96257,2007-12-25,02,04,13,22,28
96258,2007-12-26,01,11,18,20,33
96259,2007-12-27,01,03,04,19,26
96260,2007-12-28,01,02,14,22,30
96261,2007-12-31,11,12,20,25,37
97001,2008-01-01,11,26,31,35,37
97002,2008-01-02,02,09,10,24,30
97003,2008-01-03,18,28,32,33,38
97004,2008-01-04,07,17,20,28,36
97005,2008-01-07,02,11,18,19,21
97006,2008-01-08,01,12,19,20,35
97007,2008-01-09,04,09,16,19,29
97008,2008-01-10,01,08,11,22,39
97009,2008-01-11,04,08,27,30,32
97010,2008-01-14,04,19,34,35,38
97011,2008-01-15,05,11,16,21,26
97012,2008-01-16,09,10,11,23,30
97013,2008-01-17,02,20,35,37,38
97014,2008-01-18,05,15,31,32,36
97015,2008-01-21,01,11,23,26,29
97016,2008-01-22,01,04,07,17,23
97017,2008-01-23,01,03,04,11,28
97018,2008-01-24,01,08,12,26,37
97019,2008-01-25,02,08,15,17,20
97020,2008-01-28,02,13,28,32,36
97021,2008-01-29,01,04,09,10,29
97022,2008-01-30,01,16,17,28,37
97023,2008-01-31,01,02,17,24,35
97024,2008-02-01,03,10,23,34,37
97025,2008-02-04,03,12,23,26,34
